Имя / Название,Telegram Username,Очки активности,Описание (Bio),Что рекламируют (Контекст),Где размещаются (Каналы),Кол-во рекламы в базе,Пример последнего поста
Transfer Max Srbija,@transfertu,1.2,Не заполнено,Heuristic Match: в лс,Активен в 1 каналах,1,"**Трансфер по Сербии 🇷🇸 Черногории 🇲🇪 Албании 🇦🇱 Боснии 🇧🇦**

🚗 **Индивидуальный трансфер**
✈️ **В /..."
mur_valeriia,@mur_valeriia,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"1. Тоник для лица Rilastil

Rilastil Acnestil Micropeeling 100ml
Годен до 06.2027
Можно сказать, что..."
Neformall Sergei,@Neformall,1.2,https://t.me/nefo_ormall - там свои наушники всякие продаю и показываю,Heuristic Match: продам цена телефон,Активен в 1 каналах,1,Продам **ЦАПоусилители** (цифроаналоговые преобразователи и усилители для прослушивания музыки качес...
𝙎𝙤𝙣𝙮𝙖 𝙊𝙧𝙜 𝘽𝙚𝙡𝙠𝙖,@Sonya_Belka_Orehovna,1.2,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"ДЛЯ ВЗРОСЛЫХ! Воскресенье, 22 марта 🔨🍷

🌟🌟🌟🌟🌟🌟🌟🌟🌟🌟: 
**__колотим гвозди,вяжем нитью  по дереву.__**
..."
Only Pixy,@onlypixy_manager,1.2,Не заполнено,Heuristic Match: пишите в лс подбор,Активен в 1 каналах,1,"**Белград** 
Ищем **SMM**-специалиста со свободным английским и отличным пониманием интернет-культур..."
Aleksandr,@manager_zapisi,1.2,Не заполнено,Heuristic Match: услуги предлагаю,Активен в 1 каналах,1,"Привет всем! 👋

Меня зовут Александр, и я предлагаю услуги грузоперевозок по всей Сербии на своем на..."
Ivan Liess,@IvanLiess,1.2,Не заполнено,Heuristic Match: ищу помощь,Активен в 1 каналах,1,"Текст:

Ищу работу сомелье/кавист

Добрый день! Моё имя Иван. В середине мая собираемся перебираться..."
Konstantin,@KonstantinBarinov,1.2,Не заполнено,Heuristic Match: продам (Business),Активен в 1 каналах,1,"Продам рубашку размера 152-164 из резервед — новая, не носили, даже бирки не сняли.

Успела купить в..."
baraholocka_belgrade,@baraholocka_belgrade,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Куртка Calvin Klein

Отличное состояние, без дефектов. Размер S. 

Цена: 3300 динар

Примерять и заб..."
Аня,@anyabunny,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"**БРОНЬ

Рефлектор 5-в-1 (80 см) — для фото/видео съёмки**

Универсальный отражатель для работы со с..."
Любовь Б,@lubovbaikina,1.2,Не заполнено,Heuristic Match: предлагаю помощь (Business),Активен в 1 каналах,1,"**Устали тратить время на бытовые дела и хотите возвращаться в идеально чистый дом?🏠🧼**

Здравствуйт..."
hr_kmiller,@hr_kmiller,1.2,Не заполнено,Heuristic Match: реклам[аыу] стоимость аренда (Business),Активен в 1 каналах,1,"**VROOM** 🟪 https://vroom.rs — русскоязычная компания, развивающая направления:
• **автосервис
• аре..."
Светлана Радченко,@krilovaradchenko,1.2,Не заполнено,Heuristic Match: цена аренда телефон,Активен в 1 каналах,1,"**Сдаётся 2-комнатная квартира в Белграде (Мирьево) **-**46 м**
Ул. **Витезова Карађорђеве звезде 42..."
Kitokus,@Kitokus,1.2,Не заполнено,Heuristic Match: ищу цена пишите,Активен в 1 каналах,1,"Ищу моделей в Белграде 💇‍♂️💇‍♀️

Я начинающий парикмахер, обучаюсь в местной парикмахерской школе и ..."
Viktoriya Novitskaya,@Vika_Novitskaya,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"**Свадебная фата ✨**
Роскошная, невесомая (вообще не тянет голову), мягкая и струящаяся, притом очен..."
Natali,@mnataliiee,1.2,Не заполнено,Heuristic Match: продам в лс,Активен в 1 каналах,1,"ПРОДАМ

2 вентилятора (идеальное состояние) по 1500RSD (торг)

Писать в ЛС @mnataliiee

Вождовац (Ав..."
TehnoCleaningNS,@TehnoRentNS,1.2,Не заполнено,Heuristic Match: в лс телефон,Активен в 1 каналах,1,"Привет! На связи TehnoCleaning Novi Sad👋

❗Мы производим ПРОФЕССИОНАЛЬНЫЙ КЛИНИНГ для поддержания чи..."
Артем Камба,@kamba89,1.2,Не заполнено,Heuristic Match: предлагаю цена заказ (Business),Активен в 1 каналах,1,"**Всем владельцам MacBook Air 13 дюймов M2 / M3 / M4 / M5!!!**
**Предлагаю Вашему вниманию защитный ..."
wiener_osiguranje,@wiener_osiguranje,1.2,Не заполнено,Heuristic Match: стоимость контакты помощь,Активен в 1 каналах,1,"Страхование на все случаи жизни

Всем привет 🤗 Работаю в Wiener Stadtische Osiguranje (Сомбор) #стра..."
baraholka_tomilova,@baraholka_tomilova,1.2,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"Продаю коляску прогулочную UPPABABY Minu v.2

Покупала в Буэнос-Айресе. Коляска супер:
-легкая
-прое..."
Юлия,@Yuliaasenn,1.2,Не заполнено,Heuristic Match: обучение,Активен в 1 каналах,1,"🍔 **KP BURGERS** — сеть крафтовых бургерных из России и Казахстана (Краснодарский Парень), теперь и ..."
fruskabaraholka,@fruskabaraholka,1.2,Не заполнено,Heuristic Match: телефон,Активен в 1 каналах,1,"Подогреватель для бутылочек, работает от телефона. 
500 динар

Встреча в Белграде или Новисаде по до..."
clubmimi,@clubmimi,1.2,Не заполнено,Heuristic Match: помощь whatsapp телефон,Активен в 1 каналах,1,"В связи с расширением салона, @mimiclub.rs в поиске мастеров ногтевого сервиса 💅🏼

• график 2/2
• уд..."
cdxgaragesale,@cdxgaragesale,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"**Джинсовый костюм Zara**
Размер S

Цена: 1.500 динар

P.S. еще больше вещей в канале https://t.me/c..."
vicky_martynova,@vicky_martynova,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"#эмиграция #законодательство

Уважаемые подписчики и коллеги! Обращаю ваше внимание, что заголовки в..."
Anna Studio Stanislavsky,@anna_studio_Stanislavsky,1.2,Не заполнено,Heuristic Match: цена директ,Активен в 1 каналах,1,"**Встреча с режиссером анимации Алексеем Ермолаевым*
**`4.04 в 20:00`**
**
Алексей  расскажет о студ..."
DSG repair & VAG garage,@dsgrepair,1.2,Не заполнено,Heuristic Match: услуги viber whatsapp (Business),Активен в 1 каналах,1,"🔧 **Специализированный сервис для автомобилей VAG**
Диагностика и ремонт DSG, двигателей, электроник..."
Anastasiia,@bobresh,1.2,Не заполнено,Heuristic Match: продам цена пишите,Активен в 1 каналах,1,"Продам мужские трекинговые кроссовки/ботинки
Рассмотреть можно по ссылке 
Носились раза 3, в городск..."
Anya Kovtun,@anikovt,1.2,Не заполнено,Heuristic Match: пишите (Business),Активен в 1 каналах,1,"iPad Air 5 (2022), Pink, 64GB + Apple Pencil (2nd gen)

Использовался редко. В отличном состоянии — ..."
Kukuruz Service,@kukuruz_service,1.2,Не заполнено,Heuristic Match: цена пишите телефон,Активен в 1 каналах,1,"Продаётся телефон - iPhone 8 Plus

83% Акб, вмятина в углу без паутин и трещин.

Гарантия от Kukuruz..."
saaale_2026,@saaale_2026,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Отправитель Tefal pure tex

https://www.tehnomanija.rs/mali-kucni-aparati/pegle/pegle-za-vertikalno-..."
is_wardrobe,@is_wardrobe,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"1) Тренч 2mood абсолютно новый с биркой в размере М.
Цена ~~27000 RSD~~ 24000 RSD (я покупала по мес..."
Suitcase_vibes,@Suitcase_vibes,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Мотоэкипировка, одежда и перчатки - размер XS, защита голеней -  размер М

Кожаная куртка Alpinestar..."
Полина,@entermanager,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"**День рождения в семейном пространстве **[**Enter**](https://t.me/enterfamily)

__Приглашаем вас от..."
Ivan Sekulovich,@ivan_sekulovich,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"Судебные/нотариальные переводы документов.
🔥Срочно в течение дня 
Русский • Сербский • Английский

📍..."
Alisa,@elisija,1.2,Не заполнено,Heuristic Match: цена viber whatsapp,Активен в 1 каналах,1,"🏡 В аренду отличная 2х комнатная квартира со всей мебелью, техникой, местами для хранения, просторно..."
Christina Filatova,@chris_filatova,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"**Продаём комплект стульев (4 шт)
**
• Высота стула со спинкой 100 см.
• Высота сидения 47 см.
• Сос..."
Amazing_things_and,@amazing_things_and,1.2,Не заполнено,Heuristic Match: продам цена пишите,Активен в 1 каналах,1,"Детские прыгунки ABC Design Twister (Германия)
Белград, цена 2000 дин и подарок
Продам качественные ..."
Eugene Bishev,@eugenebi,1.2,Не заполнено,Heuristic Match: цена whatsapp,Активен в 1 каналах,1,"Привет!

Помогаем властнице сдать ее другое жилье: район Медакович, ул. Медаковичева

https://maps.a..."
Оля,@olya_provolosy,1.2,Не заполнено,Heuristic Match: цена пишите директ,Активен в 1 каналах,1,"Помогаем нашим властникам сдать квартиру, мы уезжаем, хочется найти хороших людей в эту квартиру 

📍..."
Anastasiia Susha,@sushaag,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"**Лампа IKEA💡 **
Приятный рассеянный свет, работает от розетки. 
В комплекте лампочка 
* Его нет в п..."
Olga Lapina,@Ol_li_La,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Сет «Уборка»

Сушилка (в наличии 2 штуки)
Цена: 500 динар

Гладильная доска, широкая и удобная, толь..."
ВИКТОР,@serbijabelgrad,1.2,"❤️ По объявлениям пишите мне, я опубликую в https://t.me/rabotavbelgrade //// ВИЗАРАН из Белграда https://t.me/BelgradVizaran3 ❤️",Heuristic Match: подбор viber whatsapp,Активен в 1 каналах,1,"Николай 22
Нахожусь в Белграде
Русский родной, Английский разговорный, Сербский только начал учить
П..."
TechnoDen_Beo,@TechnoDen_Beo,1.2,Не заполнено,Heuristic Match: продам цена заказ (Business),Активен в 1 каналах,1,"Продам

1. Игровая приставка** Xbox Series S**
В комплекте геймпад, кабель питания и HDMI. Есть небо..."
Anna Orehova,@writer_orehova,1.2,Не заполнено,Heuristic Match: цена пишите,Активен в 1 каналах,1,"Сушилки для посуды IKEA HULTARP

В наличии:
• 4 сушилки
• 6 поддонов
• 1 настенное крепление 40 см. ..."
Анна,@Kadykova_anna,1.2,Не заполнено,Heuristic Match: реклам[аыу] стоимость пишите (Business),Активен в 1 каналах,1,"Привет! Я Анна —**__ маркетолог, таргетолог и AI-креатор.__**

Помогаю экспертам и предпринимателям ..."
Степан,@Rastorguev_Stepan,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"1.Игрушечный бластер 
Nerf Elite 2.0 Ace SD-1. 

—в отличном состоянии

—однозорядный 

Цена-720rsd
..."
Linar,@Linar_K,1.2,Не заполнено,Heuristic Match: viber whatsapp,Активен в 1 каналах,1,"Сантехник! Все виды сантехнических работ ! Мастер на час ! 

📍г. Белград , также возможен выезд в др..."
Эрнест,@Ioanmask,1.2,Не заполнено,Heuristic Match: цена пишите в лс,Активен в 1 каналах,1,"Игровой ПК — сел и играешь, как монах, нашедший покой в Нови-Саде.
Ryzen 5 4500, RX 5600 XT, 16GB, N..."
privatebox,@privatebox,1.2,Не заполнено,Heuristic Match: цена контакты viber,Активен в 1 каналах,1,"🟥  Private Box Self Storage

🔑Личный склад в центре города:
📍Белград, ул. 27 Марта д.39             ..."
Anastasiia Karetkina,@AnastasiiaKaretkina,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Боди-платье 68 размер.
Надето было 1 раз для фото.цвет темно зеленый.

Цена 800 дин

Белград, Дединь..."
coffeemake,@coffeemake,1.2,Не заполнено,Heuristic Match: заказ помощь,Активен в 1 каналах,1,"**БАРИСТА**

Cetiri Coffee Bar
📍 Стари Град, Теразие, 36

**МЫ ИЩЕМ БАРИСТА:**
– Влюбленного в кофей..."
Aleksandr Trush,@sanyatrunya,1.2,Не заполнено,Heuristic Match: цена подбор (Business),Активен в 1 каналах,1,"**Hyundai i20 1.4 AT, ****2020/2021****, 16.600 км**

Продаю машину в связи с переездом (состояние -..."
Asper,@aspeeeer,1.2,Не заполнено,Heuristic Match: продам,Активен в 1 каналах,1,"Ремешок на Эпл вотч, 46мм размер XL

Ни разу не использовались, мы по ошибке купили размер XL, они с..."
Ростислав,@Rost_Sog,1.2,Не заполнено,Heuristic Match: продам цена в лс,Активен в 1 каналах,1,"Продам болонку 
Цена 9000динар
Полная информация о удочке и катушке в лс
При покупке подарок:(коробк..."
Diana Sever,@Andermattex,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"✨ Наращивание волос в Белграде — роскошь, которая стала доступной✨

Хочешь идеальные волосы без пере..."
betweendustandpixels,@betweendustandpixels,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"**Инструментальный фрезерный станок FN20 (ČSSR)**

универсальный инструментальный фрезерный станок *..."
Ana Svje,@annarzha,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,@annarzha получите бан и распишитесь. На 2 недели. для изучения правил и определения слова ОДЕЖДА...
Aleksandr Uvarov,@UvarovAleksandr,1.2,Не заполнено,Heuristic Match: пишите заказ viber,Активен в 1 каналах,1,"**🖨 3D-печать на заказ в Белграде 🚀**

Просто опишите, что хотите - словами, картинкой или ссылкой. ..."
Boris,@thatsBoris,1.2,Не заполнено,Heuristic Match: viber телефон номер,Активен в 1 каналах,1,"Мошенники!
Мы только что выложили объявление, и сразу получили сообщение — см. скриншоты.
В итоге на..."
Dana Kotchenko,@Kotchenko_da,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"В догонку к пазлам продаю супер клей для пазлов KS Games Fix, 100 мл

Клей абсолютно новый. Идеален ..."
Larisa Milic,@LarisaMilic,1.2,Не заполнено,Heuristic Match: продам цена обучение (Business),Активен в 1 каналах,1,"Продам новый w1 plus air mouse-беспроводной воздушный пульт с мини-клавиатурой и ИК-обучением, для A..."
Valentina,@oivalentina,1.2,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"Берет, красивый серый цвет, в черный горошек. Лёгкий
Заказала на temu, но не понравилось, как сидит ..."
яна,@MonsterTruck,1.2,Не заполнено,Heuristic Match: продам цена пишите,Активен в 1 каналах,1,"продам оригинальные кроссовки Dolce & Gabbana Daymaster white

детали:

• материал: 100% кожа теленк..."
brhze,@brhze,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"**«Волшебник изумрудного города»**, мягкая обложка, много красивых цветных иллюстраций, я читала доч..."
Koreansaladssrb,@Koreansaladssrb,1.2,Не заполнено,Heuristic Match: прайс заказ,Активен в 1 каналах,1,"🇰🇷 Тот самый вкус настоящей Кореи — теперь у вас дома! 🥗
Надоели скучные перекусы? Хочется чего-то я..."
Le_V1comte,@Le_V1comte,1.2,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"**Администратор-кассир, Нови Сад**
Фудбар [Marosejka](https://www.instagram.com/marosejka/) ищет тал..."
Lisa Tetovaza,@levinatattoo,1.2,Не заполнено,Heuristic Match: стоимость обучение whatsapp,Активен в 1 каналах,1,"Хочешь крутую татуировку, которая будет выражать твою индивидуальность?
Меня зовут Елизавета Левина...."
M,@MArKo9005,1.2,Не заполнено,Heuristic Match: цена viber whatsapp,Активен в 1 каналах,1,"🏡 Продаётся 3-комнатная квартира на Вождовце
📍 Улица Војводе Степе 206
📦 Этаж: 7/7
Продаётся отлична..."
old_casket,@old_casket,1.2,Не заполнено,Heuristic Match: цена курс,Активен в 1 каналах,1,"**Украшения**

**✨НОВЫЕ ЦЕНЫ**

📍Белград. Стари град. Скадарлия

1. Оригинальный кулон от Tiffany & ..."
Ilya Mmm,@ilyammmm,1.2,Не заполнено,Heuristic Match: цена в лс,Активен в 1 каналах,1,"Всем привет!
 
Помогаю власнику сдать квартиру в Белграде. 
- Евродвушка 45м: отдельная спальня, кух..."
MyFeedBack_Serbia,@MyFeedBack_Serbia,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"напишите о них отзыв в MyfeedBack.rs. 
Раздел о [Попе и работнике его](https://t.me/MyFeedBack_Serbi..."
Alena,@ailonwi,1.2,Не заполнено,Heuristic Match: продам стоимость (Business),Активен в 1 каналах,1,"1. Продам джемпер 
Fred Perry, винтаж 
Состояние отличное
Стоимость: 4000, уместен торг 

2. Худи Ka..."
aviareps,@aviareps,1.2,Не заполнено,Heuristic Match: номер (Business),Активен в 1 каналах,1,"Ответили по этому номеру, но какой-то оператор злой был, сказал всю информацию искать на оф.сайте 
М..."
vkusnosti_beograd,@vkusnosti_beograd,1.2,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"Белградцы, всем привет 👋 У меня перед Пасхой много вкусностей в наличии, налетайте ☺️

🥟 Пельмени св..."
elKoto,@elKoto,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"**Amazfit GTR 3 Thunder Black**

__""Amazfit - это как Гармин, только не за все деньги мира"" (с) Конф..."
aleksandr_ananjin,@aleksandr_ananjin,1.2,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"В кафе Vraperija Требуется повар- кассир
Обязанности:
Прием заказов и расчет клиентов.
Приготовление..."
Galina,@sheissaganchi,1.2,Не заполнено,Heuristic Match: номер,Активен в 1 каналах,1,"Книги 🤩
Добавила ссылки, если интересны детали по изданиям 

[Номер 2](https://belavrana.com/product..."
Tomila_anticafe,@Tomila_anticafe,1.2,Не заполнено,Heuristic Match: пишите обучение,Активен в 1 каналах,1,"Администратор в Anticafe
📍 Белград, Старый город
Ищем в команду ответственного и дружелюбного админи..."
spirilove,@spirilove,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"Штаны из муслина бирюзового цвета, что-то с озона
Размер скорее всего 74, этикетка срезана

Бесплатн..."
khmelevskiiy,@khmelevskiiy,1.2,Не заполнено,Heuristic Match: обучение,Активен в 1 каналах,1,"**Hookah House Belgrade** ищет кальянного мастера 

Рассматриваем как опытных мастеров, так и людей ..."
Danil,@MrPeeWeee,1.2,Не заполнено,Heuristic Match: услуги предлагаю,Активен в 1 каналах,1,"Добрый день!
Меня зовут Даниил. 
Занимаюсь климатическими системами.
Предлагаю услуги : 
✅Монтаж и д..."
sale_oksana,@sale_oksana,1.2,Не заполнено,Heuristic Match: продам,Активен в 1 каналах,1,"Продам:

1)купальники в отличном состоянии. 2 верха и один комплект. Надевала 1 раз.
За все 200 дина..."
designlavka_manager,@designlavka_manager,1.2,Не заполнено,Heuristic Match: стоимость подбор,Активен в 1 каналах,1,"Если в квартире есть одно неудобное место, это еще не повод браться за переделку всей квартиры.

У н..."
Лика,@Lika_3794,1.2,Не заполнено,Heuristic Match: услуги предлагаю цена,Активен в 1 каналах,1,"Услуги клининга. Белград.

✔️Предлагаю широкий спектр клининговых услуг в Белграде!

✅ Работаю тольк..."
anyasalesbg,@anyasalesbg,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"**Туфли** **Balenciaga**
Темно-синие кожаные туфли с декоративным каблуком
__Размер:__ 39.5 EU
__Сос..."
Olga,@olya149,1.2,Не заполнено,Heuristic Match: стоимость,Активен в 1 каналах,1,"Матрас Икеа тонкий, подходит как второй матрас или на диван.
140*200
Снимающийся стирающийся чехол (..."
Iuliia ♡,@zxccarima,1.2,Не заполнено,Heuristic Match: цена пишите,Активен в 1 каналах,1,"Продаю коляску Camarelo Faro 3 в 1

В отличном состоянии.
Мы — вторые владельцы, пользовались совсем..."
MÃRIA,@IGUmia,1.2,Не заполнено,Heuristic Match: услуги,Активен в 1 каналах,1,"**ВОКАЛ БЕЛГРАД**🎙🎸

Привет! Меня зовут Мария - педагог по вокалу с многолетним опытом и исполнитель..."
elena_chernykh_10,@elena_chernykh_10,1.2,Не заполнено,Heuristic Match: ищу,Активен в 1 каналах,1,"Ищу работу в Белграде
**Бизнес-ассистент / Project Coordinator**

Опыт работы: 3+ года.
Занималась с..."
barakholkakotyachya,@barakholkakotyachya,1.2,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"Кожаная юбка Sinsay, новая, с биркой, размер L
Заказала с сайта, думала она лёгкая и тканевая. Так ч..."
Kristina,@kristi_voice,1.2,Не заполнено,Heuristic Match: стоимость пишите,Активен в 1 каналах,1,"**☀️КАК НАЙТИ СВОЁ МЕСТО В ЖИЗНИ?
Закрытая встреча для Женщин!
Знакомство + Интересные тесты!

🗓7  А..."
hanna_pet_s,@hanna_pet_s,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"**Мышка** - невероятно игривая, любопытная, нежная и общительная киса. 
Обожает играть с другими кош..."
prodajaWF,@prodajaWF,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"**Продается Джинсовка Befree**
Размер: M
Цена: **10** **€**
Район Вотерфронт
Уезжаем из Сербии в Пят..."
Андрей,@AndreyWikk,1.2,Не заполнено,Heuristic Match: цена пишите в лс,Активен в 1 каналах,1,"Продаю один из лучших на байонете Sony e полтиников. 

Sony zeiss 55mm f/1.8 
Компактный, легкий, от..."
Dmitrii Blokhin,@Dobruy007,1.2,Не заполнено,Heuristic Match: продам цена пишите (Business),Активен в 1 каналах,1,"Обновление
**
Nissan Qashqai, 2016г, Автомат, 1,6 дизель, 183 000 км пробега**

__Продам свой автомо..."
KSM,@KSMvol,1.2,Не заполнено,Heuristic Match: заказ viber,Активен в 1 каналах,1,"Ищем команду в небольшой рестобар в центре Белграда ☕🍷

Формат: утром — кофе и завтраки, вечером — в..."
salevojvodestepe,@salevojvodestepe,1.2,Не заполнено,Heuristic Match: продам,Активен в 1 каналах,1,"Продам детские костюмы Uniqlo

1) Боди - кимоно:
 - Бежевый с леопардовыми пятнами, размер Baby 3-6 ..."
Ilya Zaigralov,@IlyaZaigralovHere,1.2,Не заполнено,Heuristic Match: реклам[аыу] ищу пишите (Business),Активен в 1 каналах,1,"#резюме

Москва, 25 лет 
Удаленка
Только РФ
Фулл / парт тайм

Привет всем 
Ищу работу СЕО / Руководи..."
Anastasia Brednikova,@nastyanongrata,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"**Лола готова идти на своё главное свидание — с будущими хозяевами**!

Лоле около 2х лет, щенячьи ша..."
Stefan_PrintForge,@Stefan_PrintForge,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Продаем Peugeot 308, 2008 год, 1.6 бензин, автомат

Пробег 236 000 км.
Есть круиз контроль, климат к..."
aleksandar,@tolaevtonelaev,1.2,Не заполнено,Heuristic Match: продам стоимость в лс,Активен в 1 каналах,1,"Продам отличный набор для фото/видеосъемки:

Полнокадровая камера sony a7iii + макрик/портретник son..."
stroikavserbii,@stroikavserbii,1.2,Не заполнено,Heuristic Match: обучение,Активен в 1 каналах,1,"Менеджер по продажам строительного оборудования
DOO Umetnost betona ищет менеджера по продажам в гор..."
Катя,@vishnyakatty,1.2,Не заполнено,Heuristic Match: продам цена пишите,Активен в 1 каналах,1,"📸 **Продам Fujifilm Instax Mini Evo (Brown)**

Камера в **отличном состоянии**, без единого дефекта...."
baraholka_blok30,@baraholka_blok30,1.2,Не заполнено,Heuristic Match: продам,Активен в 1 каналах,1,"Продам черные штаны с небольшим утеплением Uniqlo.

Штаны мужские, поэтому много карманов и больших ..."
Elizaveta,@lizaa_pl,1.2,Не заполнено,Heuristic Match: помощь,Активен в 1 каналах,1,"**помощник повара-мойщик в спешелти кофейню Basic coffee&breakfast
**
**О нас:**
 ⁃ команда кофейни ..."
Косметолог,@kristinacosmobg,1.2,Не заполнено,Heuristic Match: цена стоимость пишите,Активен в 1 каналах,1,"🏡 Сдаю свою квартиру

📅 Квартира доступна к заселению сразу.
📍 Локация: Район **Калуджерица**
     У..."
soffzzs,@soffzzs,1.2,Не заполнено,Heuristic Match: обучение,Активен в 1 каналах,1,"Вот текст объявления
📩 **Sales Manager / Customer Support**

Начни карьеру в быстрорастущей команде ..."
Anna,@anutaS1104,1.2,Не заполнено,Heuristic Match: продам цена помощь,Активен в 1 каналах,1,"БРОНЬ
~~Продам кровать ~~[~~IKEA SLATTUM 160x200~~](https://www.ikea.com/rs/sr/p/slattum-tapecirani-..."
Oleg Ustinov,@REGGAE_NA_TELEGE,1.2,Не заполнено,Heuristic Match: ищу пишите,Активен в 1 каналах,1,"Привет!

Ищу саблет в Белграде, квартиру  **с 4 по 20 мая.**

Пишите в телеграм @REGGAE_NA_TELEGE

С..."
Polina_opol,@Polina_opol,1.2,Не заполнено,Heuristic Match: ищу,Активен в 1 каналах,1,"Здравствуйте, меня зовут Полина, 29 лет. 
Ищу работу в Сербии.
📍**ТОЛЬКО** **Ниш**.  
◽ **Имеется ВН..."
baraholka_kate,@baraholka_kate,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"🕯 **Хэллоуинский декор — комплектом** 🎃
Создаст атмосферу уютного хоррора для дома, фотосессии или в..."
bgkkkids,@bgkkkids,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Кроссовки Nike original
Размер 28.5 (17.5см)

**Цена 2000дин**


📍забрать можно в Звездаре
Либо могу..."
wardrobesalezvezdara,@wardrobesalezvezdara,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Кроссовки Nike Dunk Low 39

Подойдут на 38–38,5

Носила со своими стельками. 
Не подошел размер 

Це..."
Arina🍸,@ariellaisme,1.2,Не заполнено,Heuristic Match: цена (Business),Активен в 1 каналах,1,"**Масло жожоба (в основе масло розмарина + жожоба) 100мл
**
• отлично подойдет для волос, ногтей, бр..."
Hobbetss,@Hobbetss,1.2,Не заполнено,Heuristic Match: пишите,Активен в 1 каналах,1,"Есть у нас одна шикарная дама на пристройство.
Зовут Мия, ей около трёх, и она пушистая — что для Се..."
salebelgrade70bl,@salebelgrade70bl,1.2,Не заполнено,Heuristic Match: помощь (Business),Активен в 1 каналах,1,"Детское автокресло. Состояние нового. Своего автомобиля у нас нет, поэтому использовали только неско..."
Yulyaа,@yulyazle,1.2,Не заполнено,Heuristic Match: предлагаю заказ курс,Активен в 1 каналах,1,Подскажите предлагают ли в Белграде на улицах экскурсии? Чтобы по факту приехать и заказать у тураге...
Denis,@wish_hunter,1.2,Не заполнено,Heuristic Match: услуги стоимость заказ,Активен в 1 каналах,1,"Ниоткуда, я лишь сказал что заказчик предпочтет знать заранее стоимость услуги. Аналогичная тема с т..."
salecetinska19,@salecetinska19,1.2,Не заполнено,Heuristic Match: продам,Активен в 1 каналах,1,"Продам сумку за 500 динар. Вязала сама, так и не носила. 
Внутри два отдела.
Забирать Земун 
Больше ..."
baraholka_nbg,@baraholka_nbg,1.2,Не заполнено,Heuristic Match: заказ,Активен в 1 каналах,1,"Продаю:
1) Наушники спортивные JBL Endurance Peak 3 – 💶 6500 динар
Состояние хорошее, очень долго де..."
Maria,@Maria_z95,1.2,Не заполнено,Heuristic Match: стоимость аренда,Активен в 1 каналах,1,"#аренда**
Сдаётся оборудованное рабочее место для мастера маникюра/педикюра**

📍 Удобное расположени..."
twin_sale,@twin_sale,1.2,Не заполнено,Heuristic Match: цена,Активен в 1 каналах,1,"Коляска для близнецов/ двойни Hauk Atlantic Twin

Покупали в Аксе, пользовались от рождения до приме..."
Angelina von Stein zu Lausnitz,@pampeluna,1.2,Не заполнено,Heuristic Match: пишите в лс,Активен в 1 каналах,1,"Только прилетели из Европы, винтажные броши.

Самовывоз Белград, по другим городам Сербии могу отпра..."
